train_loss,train_accuracy,test_loss,test_accuracy
10.0,0.3189180843853574,0.954024873767179,0.3585443750307761,0.9424170260057174
20.0,0.296547036285064,0.9609593653712416,0.361443300425237,0.9448371242546346
30.0,0.29047216036642354,0.9644266127228456,0.3673707174403981,0.94410725302431
40.0,0.28487678520182214,0.9653412016081147,0.40209439616895337,0.9351183178879838
50.0,0.2523532700573296,0.97467819741599,0.38165096498306866,0.9414182557565857
60.0,0.2503986956511574,0.9736953562061413,0.3535284587349823,0.9481023378766381
70.0,0.24635313032693962,0.9747601007664072,0.36417991270728467,0.9469114974754752
80.0,0.2416065944513323,0.9750740636377436,0.36703900880905554,0.9434542123093221
90.0,0.2329410417973267,0.9771899027242619,0.3727927299899856,0.9408804559513477
100.0,0.23596130647012883,0.9747054976182672,0.38133266787763087,0.9411109409855419
110.0,0.22882822079714618,0.9768895905752762,0.3667828237641312,0.9450291961651311
120.0,0.2277351827105093,0.9777495755134132,0.3636062405660025,0.9429932409861956
130.0,0.2195433516643758,0.9789508278520882,0.3651582331390343,0.9437999414954364
140.0,0.23035734181179093,0.9747054976402354,0.3852180408676783,0.9401121721834805
150.0,0.22398191384557917,0.9766438806574612,0.3862134801302868,0.9398816861601497
160.0,0.22390485702537566,0.9771079993811674,0.3779114562864676,0.9393054723245056
170.0,0.21136015515007076,0.9804796916836382,0.37084228960086246,0.9418408129302431
180.0,0.21163297871650155,0.9802066795001613,0.3670788712813287,0.9437231111815904
190.0,0.21400987038006108,0.9786914661541936,0.3776131781423722,0.9418792252846122
200.0,0.21565269327695652,0.978295601160219,0.3668137203075436,0.9416103280883812
210.0,0.21552340499123604,0.9785959131464771,0.35835995774466567,0.9449523683699201
220.0,0.20566165626031954,0.9812031730449904,0.3622462641477548,0.9425706847284056
230.0,0.2171169247944105,0.9780089378695407,0.37799231744226536,0.9397664416602
240.0,0.20347669645998476,0.981312376871067,0.3703957629454744,0.9420712985322749
250.0,0.2010714022580839,0.9814898349598077,0.36247538022820613,0.9452596819594952
260.0,0.2061703835372617,0.9800974759328215,0.35424016137420217,0.9447218818886557
270.0,0.20549345622883547,0.9802203311915545,0.36572845808396914,0.9423401975968753
280.0,0.2044085228096699,0.9803295360013188,0.3655714702957894,0.944222496113824
290.0,0.20801698911864863,0.9786914664129303,0.3789524551419188,0.9412261842582295
300.0,0.20721808194655245,0.9792101889731138,0.36511613655040875,0.943876768264876
310.0,0.19833037599613876,0.9824863263818564,0.3696645303127329,0.942878000039811
320.0,0.1960017497552994,0.9827593374929591,0.35578852762326774,0.9463736946112404
330.0,0.20981312717221343,0.9779816365802438,0.3863568141525262,0.939036570970237
340.0,0.2001947013274203,0.9817218935857256,0.3900457762145124,0.9403810717426492
350.0,0.20211727388024855,0.9814625329455597,0.36570837009141766,0.9418023995867374
360.0,0.2004831495645248,0.9797289095138491,0.36740936775312294,0.9427627548529608
370.0,0.19257156065224004,0.9834009140466693,0.37742526771543067,0.9390749873269462
380.0,0.19707698942610702,0.9813806299799931,0.36955722607328767,0.9425322690585968
390.0,0.1901362092267032,0.9836329742925395,0.3475490678548263,0.947141980668776
400.0,0.19138422696899313,0.9828412407693353,0.367900932577485,0.9427243407401265
