learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1.0,0.001,0.758855994219263,0.8746877423713604,0.7415741740759707,0.8813383516059305
5.0,0.001,0.42334044734374954,0.9340404353508313,0.43436010898112076,0.9306238509609279
10.0,0.001,0.37550621713762006,0.9432545707577844,0.37692988770610364,0.9439535944206845
15.0,0.001,0.36308399924908824,0.9461894440742393,0.3917350757205384,0.9384219422615886
20.0,0.001,0.35086128474020645,0.9511582524815806,0.3684020668254466,0.9469883258018892
25.0,0.001,0.35332183976526327,0.9504074711400744,0.3576476798743724,0.9497157345447499
30.0,0.001,0.33603506620082874,0.9559086543905069,0.3444117683076976,0.9532114331643129
35.0,0.001,0.34456790829390893,0.9520318892738383,0.37024444659465505,0.945259682380794
40.0,0.001,0.3353548274490717,0.9565365792455012,0.3648418485591693,0.9468730822910761
45.0,0.001,0.33542222723692117,0.9559769056500349,0.346675716526005,0.9517516908318848
50.0,0.001,0.3394821702366905,0.9555946894330039,0.35477542810109985,0.9499078058874086
55.0,0.001,0.3248714639334479,0.9578060821041076,0.3358978747785751,0.9553626344093312
60.0,0.001,0.33038472590807144,0.9564410251043876,0.33969742974201156,0.9538644785044306
65.0,0.001,0.3327722851200365,0.9545162943871557,0.33945989535266297,0.9528657055809664
70.0,0.001,0.3270041442152398,0.9590892375564313,0.3533263583704783,0.9492931801186945
75.0,0.001,0.32657173764658953,0.9564546767013987,0.350704806391436,0.949869394110036
80.0,0.001,0.3238717863021404,0.9563454714327428,0.35217116846397895,0.9476029508837029
85.0,0.001,0.32337610465935085,0.9570689533416731,0.3365274570795313,0.9541333758838351
90.0,0.001,0.3166938931763279,0.95904828498256,0.32993756862014956,0.9557851897878887
95.0,0.001,0.3284091570104391,0.9548029567161145,0.36551487198318156,0.9438767680359091
100.0,0.000100000005,0.26824475419865174,0.9705557222114561,0.2957618413052276,0.9613168435863871
105.0,0.000100000005,0.21136503796628095,0.9775994185512419,0.25370707978124113,0.9638137723781173
110.0,0.000100000005,0.18186952224908012,0.9812714256803795,0.2339213720746636,0.9649662006630367
115.0,0.000100000005,0.16066473116531843,0.983824082452721,0.23035853864887262,0.9635832883788532
120.0,0.000100000005,0.1455504082122254,0.9860627757622116,0.2152025894649423,0.9644668141646698
125.0,0.000100000005,0.1341146641623234,0.9873868806965839,0.2137913080132678,0.9642363286359075
130.0,0.000100000005,0.12461756069067663,0.9883424200402666,0.20025871639822843,0.9675399579368783
135.0,0.000100000005,0.11813928235203192,0.9892979601829415,0.21047662104094733,0.9636985287940348
140.0,0.000100000005,0.11155867064515998,0.9901579458460295,0.20469788213952525,0.9640058425759419
145.0,0.000100000005,0.10768526530738369,0.9905538120083875,0.20887851205865665,0.9633528021631903
150.0,0.000100000005,0.10341217855640507,0.9914683995031501,0.20268205142870188,0.96462047383986
155.0,0.000100000005,0.09961073864969155,0.9918506154166944,0.19921245959661238,0.9652351017883385
160.0,0.000100000005,0.09684835346996754,0.9921236265277971,0.20749755069892797,0.9630454883812832
165.0,0.000100000005,0.09280270724332891,0.9930245635443,0.20002403274892883,0.9643899877798946
170.0,0.000100000005,0.09281361108946563,0.9924375897245885,0.2092014845442336,0.9613168446945866
175.0,0.000100000005,0.08986559193370051,0.9932020210634945,0.20037678620802638,0.9640826723952197
180.0,0.000100000005,0.08800110095141096,0.9934204299361039,0.20252584688681433,0.9629302443759018
185.0,0.000100000005,0.0892490843133452,0.9934477311367143,0.19917745422858105,0.9645436415019472
190.0,0.000100000005,0.08532341998062597,0.9939255008048943,0.19894104204458296,0.9642747438935759
195.0,0.000100000005,0.08381851771432348,0.9944032703843878,0.19979430299501846,0.964044258630415
200.0,1.0000002e-05,0.0792007908187022,0.9951404006927337,0.20178271914799667,0.9640442576779129
205.0,1.0000002e-05,0.07472326049068655,0.9960959399477299,0.1984947045409815,0.9647741292837433
210.0,1.0000002e-05,0.07246916854055456,0.9964918061768063,0.2013995064423633,0.9641979154847338
215.0,1.0000002e-05,0.07073535986859687,0.9968467207270126,0.197785877791527,0.9658113153583812
220.0,1.0000002e-05,0.06931673773794035,0.9969968768828692,0.19961584731936455,0.9648509575002532
225.0,1.0000002e-05,0.0680016142563038,0.9971470330387258,0.19662650922037428,0.9658113153950159
230.0,1.0000002e-05,0.066643962168723,0.9973790925523223,0.20052549498843758,0.965504000962843
235.0,1.0000002e-05,0.0657436437044413,0.9973517914330756,0.19960676684526849,0.9655039999370716
240.0,1.0000002e-05,0.06472057675772448,0.9974746464696854,0.19973008518039118,0.9651966871443012
245.0,1.0000002e-05,0.06394794838650246,0.9976521037447886,0.19893695458314153,0.9652735144815785
250.0,1.0000002e-05,0.06289504204120687,0.9976930554236586,0.19757064724582596,0.966310699530445
255.0,1.0000002e-05,0.06206603278455228,0.9978022599006452,0.19928932521599857,0.9651966870343971
260.0,1.0000002e-05,0.06160985271208787,0.9978022598933225,0.19646232759095753,0.9663106991824154
265.0,1.0000002e-05,0.060740074075358044,0.9979251149372551,0.197986472261235,0.9663491149346523
270.0,1.0000002e-05,0.05998856800218668,0.9980343194142417,0.1959792458381877,0.966272286333478
275.0,1.0000002e-05,0.059267577245024565,0.9980752710931117,0.19894100462281694,0.9667332567773718
280.0,1.0000002e-05,0.05873501440884554,0.998088921652735,0.19744071514547767,0.9655808293350503
285.0,1.0000002e-05,0.058037377967457206,0.9982117766820221,0.19887322101618388,0.9653119288600143
290.0,1.0000002e-05,0.05743371264692922,0.9982800294801387,0.19798387657477765,0.9657344846598708
295.0,1.0000002e-05,0.05683853836938592,0.998389233964448,0.19825613190097702,0.9656576570569919
300.0,1.0000001e-06,0.056409991736654966,0.9982936800470847,0.1982140838624778,0.9661954576223997
305.0,1.0000001e-06,0.05616209343390426,0.9985120890010579,0.19921455326757423,0.9660418009970477
310.0,1.0000001e-06,0.0559738814597978,0.9984028845240713,0.19796323021799417,0.9662338707369387
315.0,1.0000001e-06,0.0558789063126623,0.9983755834048247,0.19804227563993893,0.9661186296348566
320.0,1.0000001e-06,0.05593915717857291,0.9983755834048247,0.19796644118640253,0.9657344861893692
325.0,1.0000001e-06,0.05575418718288262,0.9985530406799279,0.19688334729414853,0.9660802140749519
330.0,1.0000001e-06,0.05562308471139989,0.9984574867552419,0.19740748822576862,0.96684850101172
335.0,1.0000001e-06,0.055598113636163585,0.9984984384414346,0.1970371083484089,0.9669253274331301
340.0,1.0000001e-06,0.05540834902501263,0.9985393901203046,0.1987092981948423,0.9666180134680495
345.0,1.0000001e-06,0.05538665165776795,0.9985257395533585,0.19730508355818777,0.9659649711777699
350.0,1.0000001e-06,0.05535038132731827,0.9985666912395512,0.19769288183859085,0.9658113149370822
355.0,1.0000001e-06,0.055292298637061726,0.9985393901203046,0.19883378741938734,0.966195459912068
360.0,1.0000001e-06,0.05508062880605905,0.9986349440376678,0.19811869256219014,0.9661570427127608
365.0,1.0000001e-06,0.055178327251209996,0.9985803417991745,0.1991664097485829,0.9663491138630874
370.0,1.0000001e-06,0.054961864070461545,0.9986758957165378,0.19886995609689415,0.9658881417797912
375.0,1.0000001e-06,0.05492135068211227,0.9985803417991745,0.19827029695213483,0.9658113144791485
380.0,1.0000001e-06,0.05490619280256329,0.9986212934780445,0.19753830094799427,0.9665027709830079
385.0,1.0000001e-06,0.05471380362800645,0.9986485945972912,0.1973960764497775,0.9660033858218073
390.0,1.0000001e-06,0.054650537162762476,0.9986349440376678,0.19874254614458212,0.9661186282610557
395.0,1.0000001e-06,0.05468696097784729,0.9986349440376678,0.19744142524030267,0.9665411858926467
400.0,9.9999994e-08,0.05458079954642558,0.9987031968357845,0.19820115840281163,0.966195457585765
