train_loss,train_accuracy,test_loss,test_accuracy
10.0,0.8472908290565402,0.9211542946844795,1.0579288510288574,0.8455362612840656
20.0,0.613094349868995,0.9598946210623898,0.9191916747626602,0.8580977272313287
30.0,0.45988147955183456,0.9777359254346497,0.83441671306873,0.8623232943244558
40.0,0.3527893949688715,0.9875779884645921,0.7677548507064782,0.8629763368711783
50.0,0.27771177243230866,0.9926696493049032,0.7256612819931444,0.8614781784842772
60.0,0.22586948743228683,0.9950584972463072,0.6943432075219353,0.8626690217246288
70.0,0.19308250300224256,0.9967511668096494,0.6728248595641886,0.8632068229311437
80.0,0.17020483530889716,0.9972698880753357,0.654407145845868,0.8642440069450802
90.0,0.15357956410093865,0.9980206688546184,0.6407110894851034,0.8665488635607124
100.0,0.14597322721323283,0.997624802625542,0.6467340427926515,0.8619007383322672
110.0,0.14001730916302604,0.9978432115795152,0.6357535833851208,0.866011062647275
120.0,0.1363003025457178,0.9982663789131927,0.638957155606244,0.8644744925929053
130.0,0.13190441468185507,0.9981162227573361,0.6336643804590543,0.8658189909932213
140.0,0.13027243612947845,0.9981162227719816,0.6454527210570143,0.8627458520751096
150.0,0.12888488380270782,0.9979797171757484,0.6463631898137273,0.8643976649075985
160.0,0.12725758451294078,0.998129873331605,0.6302508368021188,0.8659342369127655
170.0,0.1268775247604211,0.9979933677280489,0.6288435592120897,0.8661647200327969
180.0,0.12539581371813038,0.9977203565355826,0.6299747810427148,0.8665104488434056
190.0,0.12323980183198514,0.9977203565429053,0.6359894304652484,0.8662799623896171
200.0,0.12372631775632639,0.9978841632583851,0.6307013635034201,0.8668561772968261
210.0,0.12336115129956651,0.998088921652735,0.6280424299786702,0.8683543321393206
220.0,0.1215530786654293,0.9980343194069189,0.628391166346419,0.8662415477181038
230.0,0.12285202425402697,0.9976930553349721,0.6291655981850243,0.8661263049674606
240.0,0.12293088207799677,0.9971879847175957,0.6343684814797088,0.8655116787774474
250.0,0.12220371133583188,0.9977203565429053,0.6176448736406208,0.8665104485411694
260.0,0.12053155997314925,0.9977613082217752,0.6147528995165044,0.8677781192561784
270.0,0.12015575433250698,0.9977749587813985,0.6155082677555692,0.8677397047312039
280.0,0.11903777949027179,0.9980206688546184,0.6210081497528982,0.867854947399419
290.0,0.11918528785540496,0.9977476576621519,0.6189602857894083,0.8678165345871163
300.0,0.11969579839606913,0.9977067059832819,0.617691090265226,0.8657037491676041
310.0,0.12073713378323718,0.9978022598192814,0.613606926477351,0.8671250756012565
320.0,0.11882725002164964,0.9977476576621519,0.6091858572255049,0.8683927483128564
330.0,0.11798858575615756,0.9977203565282597,0.620927743826659,0.866587277133185
340.0,0.11896867598834703,0.9977613082217752,0.6149694056839172,0.86781653324995
350.0,0.11694011919136652,0.9976794048640353,0.6191317141330821,0.869583588301879
360.0,0.11842311825268892,0.997542899267802,0.6236710204813256,0.8659342358778354
370.0,0.11785735551820678,0.9977749587813985,0.6141662956264097,0.8689305456727285
380.0,0.1159673148521128,0.9980479699665422,0.6147258196990038,0.8694683483812659
390.0,0.11721570590249049,0.9977340071025286,0.6148727062652283,0.8669714203130708
400.0,0.11643451949489486,0.9971060813598558,0.6212518784619946,0.8660494769524414
