epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,test_loss,test_accuracy
1.0,0.545473224884385,0.858,0.5693847163550586,0.8531666666666666,0.5384961171339517,0.8601321585903083
2.0,0.4482453058776008,0.882,0.46903827977029794,0.8763333333333333,0.47180364657686824,0.8803230543318649
3.0,0.36641128975429343,0.899,0.39958628521762246,0.8908333333333334,0.40924392865547354,0.8931718061674009
4.0,0.33034473997208286,0.9088,0.38134179343474056,0.8946666666666667,0.3873400535663898,0.8990455212922174
5.0,0.2994152561133566,0.9145,0.3646024868683347,0.8976666666666666,0.37414548554705546,0.9019823788546255
6.0,0.2757032097956627,0.9223,0.35276175569330165,0.9011666666666667,0.36572748173320635,0.9041850220264317
7.0,0.2619563841933855,0.927,0.3508640372325453,0.9025,0.36521399870844146,0.9071218795888399
8.0,0.25097612823763443,0.9284,0.35130673707823,0.9016666666666666,0.3653354832155615,0.9041850220264317
9.0,0.2417122574974932,0.9322,0.35054235511285287,0.8996666666666666,0.3614654482317717,0.8997797356828194
10.0,0.23287901164020422,0.9332,0.3495549461634151,0.8991666666666667,0.356017433776255,0.8968428781204112
11.0,0.21909908470054223,0.935,0.3450913632524374,0.8988333333333334,0.3513863212259085,0.9012481644640234
12.0,0.19989650225396977,0.9434,0.3331021530027345,0.903,0.34875727542883,0.9023494860499266
13.0,0.1778679982145301,0.9519,0.31754688926713176,0.9105,0.33970869865933295,0.908223201174743
14.0,0.16286833445132234,0.9568,0.3102880157319016,0.9121666666666667,0.33243586453515256,0.9085903083700441
15.0,0.15302180438477134,0.9599,0.30896637453230075,0.9103333333333333,0.33050742523663,0.9063876651982379
16.0,0.14308609557388655,0.9635,0.30786185223175966,0.9111666666666667,0.3302150100481277,0.9115271659324523
17.0,0.13412490756007248,0.9671,0.30724775848117436,0.9115,0.33182271710284705,0.9107929515418502
18.0,0.1254547579831719,0.9701,0.3062108729665862,0.9113333333333333,0.3316375166551455,0.9096916299559471
19.0,0.1181782659923625,0.9729,0.3064577324937002,0.9115,0.33259624405333793,0.9085903083700441
20.0,0.11200970886745111,0.9751,0.30756304204522267,0.9113333333333333,0.333975381465691,0.9085903083700441
21.0,0.10625318996823957,0.9766,0.3091061516952541,0.9125,0.3363227140271988,0.9085903083700441
22.0,0.10061270541405629,0.9784,0.31018727930199946,0.912,0.33826683831585724,0.9085903083700441
23.0,0.09518895430656582,0.9806,0.31118792338637,0.912,0.340208800425262,0.9093245227606461
24.0,0.08963029912722494,0.9823,0.3110894141095409,0.9131666666666667,0.3405806184958703,0.908957415565345
25.0,0.0838901328870066,0.9846,0.31034657386195286,0.9128333333333334,0.34058414900945183,0.9096916299559471
26.0,0.07813156134411689,0.9867,0.3086392710451567,0.9138333333333334,0.3397463448959718,0.9111600587371512
27.0,0.07269583202015113,0.9881,0.3065864548697568,0.9143333333333333,0.3384894969038634,0.9126284875183553
28.0,0.06856723804159477,0.989,0.30518589275335495,0.9141666666666667,0.3378452906773317,0.9118942731277533
29.0,0.06561212097841654,0.99,0.3047104822514639,0.9153333333333333,0.33770489288408245,0.9140969162995595
30.0,0.06559951116933839,0.9895,0.30790129071991273,0.9143333333333333,0.34056576095516133,0.9137298091042585
31.0,0.06669951636606399,0.9876,0.31240109011155237,0.914,0.3450541744687408,0.9126284875183553
32.0,0.06688003273293135,0.9878,0.3171323212746683,0.9135,0.3499997321116907,0.9126284875183553
33.0,0.06239618861682029,0.989,0.3162355087241441,0.914,0.3508440416361579,0.9137298091042585
34.0,0.05669901240511191,0.9903,0.31457155895385513,0.9138333333333334,0.3520582232264922,0.9133627019089574
35.0,0.0542379806732548,0.9907,0.31877126347515017,0.912,0.3574604223295046,0.9126284875183553
36.0,0.05506152206289988,0.9897,0.32698143895103415,0.9111666666666667,0.3658769598591966,0.9104258443465492
37.0,0.056618237756055,0.9895,0.33518033978104456,0.9105,0.37232428097503256,0.9093245227606461
38.0,0.05597340132271289,0.9895,0.33772545038930085,0.91,0.3746705808762101,0.9085903083700441
39.0,0.05354801909393999,0.9894,0.3336805216074109,0.9105,0.37112857380964354,0.9074889867841409
40.0,0.055179406122780106,0.9887,0.33368717132987197,0.9121666666666667,0.36993361937483954,0.9126284875183553
41.0,0.060900956081667845,0.9852,0.3419337570926527,0.9098333333333334,0.3738395096120229,0.9104258443465492
42.0,0.06232677228189205,0.9842,0.3480754852472069,0.9076666666666666,0.3801257069980483,0.9096916299559471
43.0,0.05609519517222514,0.9875,0.34485428195221485,0.9085,0.3808065574995728,0.9100587371512482
44.0,0.04898638871629878,0.9896,0.34104468867744014,0.9113333333333333,0.3806784774757748,0.9115271659324523
45.0,0.045549872872961895,0.9908,0.33864032002706057,0.9128333333333334,0.3802783990255494,0.9104258443465492
46.0,0.04590698784504014,0.9909,0.34104172734352056,0.9126666666666666,0.38450623350938123,0.908223201174743
47.0,0.04609693551356448,0.9912,0.3437783227455344,0.912,0.38820932500647565,0.9085903083700441
48.0,0.03717558708974516,0.9938,0.34027353910519237,0.9123333333333333,0.3844306133085974,0.9085903083700441
49.0,0.029685771591467142,0.997,0.336259489357271,0.9156666666666666,0.37845465172861864,0.9107929515418502
50.0,0.027083178148615012,0.9974,0.3323625536889406,0.9153333333333333,0.36943400043395624,0.9129955947136564
51.0,0.029952957706810696,0.9962,0.3364610997216315,0.9126666666666666,0.3723427989133148,0.9133627019089574
52.0,0.030438300626505196,0.9965,0.3384294312794577,0.9135,0.37566915950203983,0.9107929515418502
53.0,0.029789171388636248,0.9966,0.3406256492392238,0.9133333333333333,0.38325283265883203,0.9107929515418502
