learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
245.0,1.0000002e-05,0.243260019258256,0.9663786460922171,0.5983578087676136,0.8609403820402723
250.0,1.0000002e-05,0.24302007482014162,0.9663922959195668,0.5990964808920884,0.8616702523089363
255.0,1.0000002e-05,0.2424704329802363,0.9671157768814228,0.6014734845615342,0.8602489233200141
260.0,1.0000002e-05,0.24063121471709395,0.9676481491949149,0.6000742117502825,0.8608635542084266
265.0,1.0000002e-05,0.241561268925177,0.9677300520644723,0.6051081372602409,0.8611324529616321
270.0,1.0000002e-05,0.24014744178689873,0.9674570418483709,0.6047374833450775,0.8601720964040358
275.0,1.0000002e-05,0.23855120625487708,0.9680986185501631,0.6025346099148884,0.8602489243915789
280.0,1.0000002e-05,0.2373438540524265,0.9686309918400202,0.5993401046702667,0.8612476950162162
285.0,1.0000002e-05,0.2374950387478298,0.9681805214327387,0.599554696370468,0.8607098933059742
290.0,1.0000002e-05,0.23516761180545995,0.9694090735904675,0.6009585649168924,0.8614397631899741
295.0,1.0000002e-05,0.2362568157265191,0.968712895123719,0.5965127287948871,0.8603641659515946
300.0,1.0000001e-06,0.23490794960681513,0.9688220986316634,0.6007957004592253,0.8594422258606115
305.0,1.0000001e-06,0.23418508182173142,0.9693681228863352,0.603141087189216,0.8597111247328798
310.0,1.0000001e-06,0.23441086294890012,0.9686719425571706,0.5975903390409321,0.8624001212770688
315.0,1.0000001e-06,0.23275174912488003,0.9696547835750008,0.5989338493715347,0.8596342962507683
320.0,1.0000001e-06,0.23352977120274382,0.9695728812733624,0.607934016228345,0.8596727087974695
325.0,1.0000001e-06,0.232741004094179,0.969695735172507,0.5936618920852966,0.8627842647683496
330.0,1.0000001e-06,0.23308425545993489,0.9696274830163504,0.600411001892821,0.8602873405193213
335.0,1.0000001e-06,0.23355484804852025,0.9687265450975234,0.6025328413338916,0.8609403833774386
340.0,1.0000001e-06,0.23188431133975876,0.970200807579886,0.6020579693430248,0.861823908861019
345.0,1.0000001e-06,0.23251389737816378,0.9693954238225134,0.5985237313474551,0.862515366885218
350.0,1.0000001e-06,0.2327485217628519,0.9696820853435302,0.6033895942986415,0.8609787942755787
355.0,1.0000001e-06,0.23228332156962975,0.9697639885474926,0.600461379678138,0.8606714816385057
360.0,1.0000001e-06,0.23262787641932764,0.9697912900662353,0.597122195927219,0.8625537807324508
365.0,1.0000001e-06,0.23212198855878322,0.9699004952535274,0.6010057805054526,0.8614781816531781
370.0,1.0000001e-06,0.2323618737130294,0.9699550970925247,0.6017459850545375,0.8610940375940596
375.0,1.0000001e-06,0.23183270772333978,0.9702690606351121,0.6006405695118857,0.8607098952567717
380.0,1.0000001e-06,0.23228668362731741,0.9695046272637394,0.6042499084943779,0.8608251383829205
385.0,1.0000001e-06,0.2321410220228913,0.9703509635656923,0.6021359183567392,0.8606330664999
390.0,1.0000001e-06,0.23197164374926685,0.9697776408141274,0.5948454681245843,0.8627458505822458
395.0,1.0000001e-06,0.23115843728115337,0.9705284218912015,0.6020209799808597,0.861900737608732
400.0,9.9999994e-08,0.23143612014804238,0.9698185911911774,0.5986781232494038,0.8621696340722692
