epoch,train_loss
1,1332814.5
2,1318011.5
3,1303293.5
4,1288627.2
5,1274019.9
6,1259441.5
7,1244860.8
8,1230265.2
9,1215656.6
10,1201012.5
11,1186322.4
12,1171604.0
13,1156873.4
14,1142156.6
15,1127491.8
16,1112919.8
17,1098468.2
18,1084161.0
19,1070006.4
20,1056015.2
21,1042192.56
22,1028542.94
23,1015066.9
24,1001768.6
25,988644.4
26,975692.3
27,962911.6
28,950300.4
29,937851.25
30,925565.25
31,913437.1
32,901468.44
33,889655.56
34,877991.5
35,866472.94
36,855098.0
37,843864.7
38,832771.6
39,821806.06
40,810974.44
41,800267.0
42,789684.25
43,779224.5
44,768883.25
45,758666.5
46,748574.25
47,738598.6
48,728746.9
49,719010.5
50,709398.5
51,699900.1
52,690525.56
53,681268.1
54,672124.9
55,663091.1
56,654158.5
57,645329.6
58,636601.56
59,627981.1
60,619459.56
61,611033.8
62,602700.06
63,594459.9
64,586301.5
65,578219.4
66,570205.6
67,562268.25
68,554407.25
69,546613.75
70,538880.06
71,531190.75
72,523572.6
73,516021.3
74,508537.0
75,501116.06
76,493785.0
77,486553.38
78,479436.0
79,472462.2
80,465630.5
81,458963.94
82,452461.66
83,446129.25
84,439971.06
85,433983.7
86,428163.16
87,422514.8
88,417031.44
89,411715.72
90,406561.03
91,401558.97
92,396707.8
93,392009.66
94,387461.8
95,383059.4
96,378795.66
97,374665.56
98,370666.12
99,366792.8
100,363041.12
101,359404.88
102,355881.66
103,352468.3
104,349158.78
105,345950.12
106,342838.0
107,339817.44
108,336884.16
109,334036.4
110,331272.2
111,328586.75
112,325976.0
113,323437.2
114,320969.5
115,318570.38
116,316237.66
117,313968.66
118,311761.0
119,309612.12
120,307519.8
121,305481.44
122,303495.94
123,301562.94
124,299679.94
125,297846.12
126,296059.28
127,294318.8
128,292622.94
129,290970.0
130,289358.47
131,287787.0
132,286255.0
133,284760.25
134,283301.62
135,281876.7
136,280485.5
137,279126.75
138,277799.47
139,276503.34
140,275237.3
141,273999.94
142,272791.28
143,271610.5
144,270456.56
145,269328.5
146,268225.84
147,267147.66
148,266092.62
149,265060.5
150,264050.7
151,263062.6
152,262095.89
153,261149.66
154,260223.7
155,259317.06
156,258429.19
157,257559.62
158,256707.9
159,255873.83
160,255056.81
161,254256.56
162,253472.44
163,252704.12
164,251951.33
165,251213.69
166,250491.19
167,249782.97
168,249089.17
169,248409.2
170,247742.86
171,247089.83
172,246449.62
173,245822.12
174,245207.0
175,244603.88
176,244012.53
177,243432.6
178,242863.97
179,242306.56
180,241759.88
181,241224.05
182,240698.25
183,240182.56
184,239676.72
185,239180.55
186,238694.0
187,238216.47
188,237748.19
189,237288.72
190,236838.22
191,236396.33
192,235962.7
193,235537.08
194,235119.44
195,234709.81
196,234307.83
197,233913.31
198,233526.31
199,233146.62
200,232774.05
201,232408.38
202,232049.69
203,231697.64
204,231352.16
205,231013.0
206,230680.2
207,230353.53
208,230033.06
209,229718.4
210,229409.7
211,229106.52
212,228809.06
213,228517.08
214,228230.36
215,227948.97
216,227672.62
217,227401.28
218,227134.75
219,226873.16
220,226616.4
221,226364.31
222,226116.81
223,225873.94
224,225635.33
225,225401.1
226,225171.1
227,224945.19
228,224723.45
229,224505.84
230,224292.28
231,224082.6
232,223876.9
233,223674.98
234,223476.84
235,223282.28
236,223091.31
237,222904.08
238,222720.12
239,222539.6
240,222362.45
241,222188.47
242,222017.75
243,221849.9
244,221685.17
245,221523.56
246,221364.92
247,221208.84
248,221055.53
249,220904.97
250,220756.98
251,220611.56
252,220468.89
253,220328.84
254,220191.25
255,220056.12
256,219923.31
257,219792.9
258,219664.8
259,219539.02
260,219415.53
261,219294.3
262,219175.34
263,219058.64
264,218943.92
265,218831.33
266,218720.66
267,218612.1
268,218505.47
269,218400.53
270,218297.4
271,218196.19
272,218096.75
273,217999.19
274,217902.97
275,217808.47
276,217715.44
277,217623.84
278,217533.81
279,217445.19
280,217358.22
281,217272.73
282,217188.28
283,217105.48
284,217024.06
285,216943.84
286,216864.78
287,216786.92
288,216710.47
289,216635.16
290,216560.92
291,216487.62
292,216415.06
293,216343.25
294,216272.53
295,216202.8
296,216133.9
297,216065.94
298,215999.2
299,215933.3
300,215867.75
301,215803.16
302,215739.17
303,215675.81
304,215612.61
305,215550.08
306,215487.95
307,215426.03
308,215363.6
309,215301.73
310,215240.97
311,215181.12
312,215121.61
313,215062.86
314,215004.4
315,214946.03
316,214887.8
317,214829.7
318,214771.78
319,214713.92
320,214656.38
321,214598.7
322,214540.7
323,214482.34
324,214423.67
325,214365.38
