epoch,train_loss
1,1380199.8
2,1364020.4
3,1347753.6
4,1331476.2
5,1315241.1
6,1299084.5
7,1283019.5
8,1267063.5
9,1251229.2
10,1235528.0
11,1219971.8
12,1204571.4
13,1189334.2
14,1174274.1
15,1159395.0
16,1144698.2
17,1130188.5
18,1115866.2
19,1101737.8
20,1087801.8
21,1074059.6
22,1060511.0
23,1047155.75
24,1033988.4
25,1021012.56
26,1008227.25
27,995624.4
28,983205.6
29,970968.1
30,958909.0
31,947025.06
32,935309.9
33,923760.6
34,912371.5
35,901144.25
36,890071.7
37,879148.4
38,868371.7
39,857740.8
40,847252.3
41,836894.9
42,826666.94
43,816566.25
44,806575.0
45,796680.75
46,786889.6
47,777192.4
48,767584.5
49,758056.4
50,748594.2
51,739197.4
52,729862.9
53,720561.3
54,711287.9
55,702036.94
56,692811.4
57,683597.5
58,674425.56
59,665288.4
60,656189.5
61,647153.4
62,638194.9
63,629326.44
64,620576.1
65,611936.9
66,603411.3
67,595006.75
68,586734.9
69,578598.0
70,570602.5
71,562746.56
72,555026.75
73,547452.1
74,540016.9
75,532724.2
76,525569.06
77,518549.0
78,511657.22
79,504885.66
80,498231.72
81,491694.03
82,485265.25
83,478952.28
84,472751.0
85,466661.75
86,460678.44
87,454790.9
88,449003.56
89,443327.56
90,437759.12
91,432289.25
92,426927.5
93,421678.56
94,416552.56
95,411555.0
96,406687.12
97,401942.56
98,397323.06
99,392830.28
100,388461.94
101,384214.53
102,380084.62
103,376070.0
104,372169.75
105,368380.5
106,364697.75
107,361120.25
108,357645.56
109,354270.06
110,350993.12
111,347810.3
112,344718.75
113,341716.88
114,338801.38
115,335969.3
116,333218.3
117,330544.3
118,327945.2
119,325418.38
120,322961.8
121,320573.25
122,318250.3
123,315990.03
124,313791.0
125,311650.75
126,309567.62
127,307539.4
128,305564.7
129,303641.16
130,301767.7
131,299942.4
132,298163.47
133,296429.3
134,294738.8
135,293090.5
136,291483.0
137,289915.0
138,288385.38
139,286892.6
140,285435.44
141,284013.0
142,282624.3
143,281268.12
144,279943.5
145,278649.22
146,277384.75
147,276148.94
148,274941.06
149,273760.2
150,272605.56
151,271476.44
152,270371.94
153,269291.5
154,268234.4
155,267199.8
156,266187.44
157,265196.38
158,264226.38
159,263276.62
160,262346.56
161,261435.75
162,260543.81
163,259670.1
164,258814.22
165,257975.69
166,257154.22
167,256349.14
168,255560.22
169,254786.9
170,254029.06
171,253286.19
172,252557.94
173,251843.97
174,251143.95
175,250457.7
176,249784.77
177,249124.69
178,248477.4
179,247842.5
180,247219.86
181,246609.06
182,246009.9
183,245422.27
184,244845.7
185,244280.16
186,243725.25
187,243180.9
188,242646.8
189,242122.67
190,241608.45
191,241103.88
192,240608.88
193,240122.84
194,239646.22
195,239178.3
196,238719.22
197,238268.62
198,237826.5
199,237392.56
200,236966.6
201,236548.64
202,236138.44
203,235735.81
204,235340.62
205,234952.83
206,234572.19
207,234198.6
208,233831.97
209,233472.0
210,233118.81
211,232772.06
212,232431.9
213,232097.9
214,231770.06
215,231448.22
216,231132.56
217,230822.62
218,230518.44
219,230219.84
220,229926.88
221,229639.27
222,229356.94
223,229080.08
224,228808.17
225,228541.38
226,228279.47
227,228022.53
228,227770.44
229,227522.9
230,227280.02
231,227041.56
232,226807.69
233,226578.19
234,226352.97
235,226131.95
236,225915.06
237,225702.22
238,225493.47
239,225288.47
240,225087.55
241,224890.19
242,224696.75
243,224506.86
244,224320.47
245,224137.78
246,223958.52
247,223782.53
248,223609.9
249,223440.72
250,223274.53
251,223111.61
252,222951.88
253,222795.14
254,222641.36
255,222490.6
256,222342.53
257,222197.5
258,222055.2
259,221915.61
260,221778.67
261,221644.47
262,221512.75
263,221383.73
264,221257.08
265,221132.94
266,221011.16
267,220891.81
268,220774.78
269,220660.0
270,220547.53
271,220437.12
272,220328.97
273,220222.84
274,220118.94
275,220017.16
276,219917.16
277,219819.22
278,219723.14
279,219629.03
280,219536.78
281,219446.3
282,219357.66
283,219270.78
284,219185.69
285,219102.17
286,219020.47
287,218940.31
288,218861.72
289,218784.88
290,218709.34
291,218635.44
292,218563.05
293,218492.05
294,218422.64
295,218354.4
296,218287.72
297,218222.28
298,218158.25
299,218095.44
300,218034.06
301,217973.81
302,217914.88
303,217857.03
304,217800.4
305,217744.97
306,217690.69
307,217637.5
308,217585.34
309,217534.34
310,217484.27
311,217435.34
312,217387.45
313,217340.6
314,217294.53
315,217249.52
316,217205.5
317,217162.28
318,217120.06
319,217078.66
320,217038.25
321,216998.47
322,216959.72
323,216921.56
324,216884.44
325,216848.05
326,216812.3
327,216777.4
328,216743.16
329,216709.7
330,216676.9
331,216644.89
332,216613.38
333,216582.75
334,216552.62
335,216523.19
336,216494.39
337,216466.1
338,216438.5
339,216411.5
340,216385.06
341,216359.22
342,216333.84
343,216308.97
344,216284.78
345,216261.06
346,216237.84
347,216215.06
348,216192.77
349,216171.02
350,216149.56
351,216128.78
352,216108.31
