epoch,train_loss
1,1463493.0
2,1448307.8
3,1433190.6
4,1418128.4
5,1403124.5
6,1388175.8
7,1373254.0
8,1358370.6
9,1343511.5
10,1328664.4
11,1313845.2
12,1299061.2
13,1284324.0
14,1269669.0
15,1255100.0
16,1240620.4
17,1226244.2
18,1211960.1
19,1197780.2
20,1183703.5
21,1169728.5
22,1155841.8
23,1142038.2
24,1128304.4
25,1114641.8
26,1101045.8
27,1087530.2
28,1074082.8
29,1060705.2
30,1047399.44
31,1034173.4
32,1021035.4
33,1007987.9
34,995046.56
35,982221.3
36,969498.4
37,956882.8
38,944372.25
39,931955.56
40,919630.6
41,907397.6
42,895261.0
43,883214.4
44,871248.75
45,859373.0
46,847587.5
47,835919.2
48,824373.2
49,812947.6
50,801652.3
51,790488.7
52,779472.25
53,768610.75
54,757908.75
55,747367.75
56,736996.25
57,726789.7
58,716746.06
59,706873.5
60,697168.25
61,687631.6
62,678263.1
63,669070.56
64,660049.9
65,651198.44
66,642515.5
67,634000.0
68,625651.56
69,617469.25
70,609452.94
71,601599.4
72,593908.25
73,586377.6
74,579002.0
75,571778.75
76,564706.0
77,557779.1
78,550993.9
79,544346.75
80,537831.9
81,531440.6
82,525176.7
83,519037.0
84,513015.94
85,507111.3
86,501315.0
87,495622.75
88,490027.47
89,484533.9
90,479137.88
91,473837.88
92,468629.25
93,463511.2
94,458484.62
95,453545.38
96,448690.5
97,443917.25
98,439226.75
99,434620.1
100,430099.38
101,425660.38
102,421299.62
103,417023.7
104,412836.94
105,408734.75
106,404715.62
107,400783.88
108,396936.06
109,393174.3
110,389500.8
111,385914.47
112,382413.25
113,378995.22
114,375658.56
115,372402.06
116,369223.3
117,366121.75
118,363094.44
119,360139.12
120,357255.12
121,354440.06
122,351692.56
123,349010.56
124,346392.12
125,343835.22
126,341338.0
127,338898.78
128,336515.66
129,334186.72
130,331910.62
131,329685.47
132,327509.94
133,325382.25
134,323301.72
135,321266.25
136,319274.94
137,317326.5
138,315419.44
139,313552.75
140,311725.2
141,309935.8
142,308183.28
143,306466.88
144,304785.3
145,303137.88
146,301523.6
147,299941.47
148,298390.7
149,296870.53
150,295380.12
151,293918.66
152,292485.56
153,291080.06
154,289701.3
155,288348.8
156,287022.12
157,285720.25
158,284442.8
159,283189.2
160,281958.9
161,280751.34
162,279566.0
163,278402.53
164,277260.16
165,276138.9
166,275037.7
167,273956.5
168,272894.88
169,271852.38
170,270828.6
171,269823.12
172,268835.44
173,267865.56
174,266912.9
175,265977.06
176,265057.97
177,264155.0
178,263268.0
179,262396.7
180,261540.72
181,260699.75
182,259873.61
183,259061.95
184,258264.45
185,257481.0
186,256711.23
187,255954.97
188,255211.84
189,254481.62
190,253764.22
191,253059.33
192,252366.72
193,251686.16
194,251017.45
195,250360.38
196,249714.73
197,249080.31
198,248456.97
199,247844.47
200,247242.6
201,246651.16
202,246070.1
203,245499.19
204,244938.19
205,244386.78
206,243845.25
207,243313.0
208,242790.1
209,242276.31
210,241771.53
211,241275.5
212,240788.22
213,240309.42
214,239839.1
215,239377.03
216,238922.97
217,238476.88
218,238038.6
219,237608.19
220,237185.19
221,236769.9
222,236361.8
223,235960.88
224,235567.12
225,235180.38
226,234800.34
227,234427.23
228,234060.75
229,233700.9
230,233347.2
231,233000.06
232,232659.05
233,232324.14
234,231995.31
235,231672.44
236,231355.27
237,231043.86
238,230738.06
239,230437.9
240,230143.16
241,229853.67
242,229569.66
243,229290.56
244,229016.72
245,228747.88
246,228483.98
247,228224.94
248,227970.61
249,227721.1
250,227476.0
251,227235.5
252,226999.53
253,226767.94
254,226540.6
255,226317.56
256,226098.64
257,225883.81
258,225673.06
259,225466.3
260,225263.34
261,225064.25
262,224868.92
263,224677.22
264,224489.34
265,224304.92
266,224124.0
267,223946.55
268,223772.44
269,223601.78
270,223434.25
271,223270.03
272,223109.03
273,222951.0
274,222796.06
275,222644.2
276,222495.25
277,222349.19
278,222205.97
279,222065.52
280,221927.84
281,221792.78
282,221660.52
283,221530.77
284,221403.56
285,221278.88
286,221156.69
287,221036.9
288,220919.47
289,220804.38
290,220691.53
291,220581.08
292,220472.62
293,220366.47
294,220262.42
295,220160.42
296,220060.5
297,219962.47
298,219866.62
299,219772.56
300,219680.47
301,219590.23
302,219501.75
303,219415.16
304,219330.28
305,219247.0
306,219165.58
307,219085.72
308,219007.56
309,218930.97
310,218855.92
311,218782.4
312,218710.38
313,218639.9
314,218570.94
315,218503.22
316,218436.88
317,218372.05
318,218308.39
319,218246.17
320,218185.19
321,218125.5
322,218066.94
323,218009.7
324,217953.62
325,217898.6
326,217844.88
327,217792.16
328,217740.52
329,217690.05
330,217640.5
331,217592.03
332,217544.53
333,217498.1
334,217452.58
335,217407.97
336,217364.31
337,217321.56
338,217279.75
339,217238.69
340,217198.53
341,217159.28
342,217120.75
343,217082.94
344,217046.1
345,217009.9
346,216974.52
347,216939.88
348,216905.78
349,216872.56
350,216840.02
351,216808.14
352,216776.84
353,216746.17
354,216716.12
355,216686.84
356,216658.06
357,216629.9
358,216602.22
359,216575.28
360,216548.75
361,216522.81
362,216497.42
363,216472.5
364,216448.03
365,216424.23
366,216400.81
367,216377.88
368,216355.4
369,216333.38
370,216311.88
371,216290.72
372,216269.98
373,216249.69
374,216229.81
375,216210.28
376,216191.27
377,216172.58
378,216154.16
379,216136.25
380,216118.58
381,216101.31
382,216084.39
383,216067.9
384,216051.56
385,216035.61
386,216020.02
387,216004.69
388,215989.72
389,215975.0
390,215960.5
391,215946.34
392,215932.53
393,215918.98
394,215905.6
395,215892.56
396,215879.7
397,215867.11
398,215854.84
399,215842.66
400,215830.88
401,215819.22
402,215807.88
403,215796.7
404,215785.69
405,215774.97
406,215764.4
407,215754.03
408,215743.92
409,215733.97
410,215724.19
411,215714.61
412,215705.22
413,215695.97
414,215686.97
415,215678.19
416,215669.5
417,215660.84
418,215652.55
419,215644.34
420,215636.28
421,215628.34
422,215620.6
423,215612.97
424,215605.5
425,215598.23
426,215591.03
427,215583.97
428,215577.1
429,215570.28
430,215563.62
431,215557.06
432,215550.69
433,215544.38
434,215538.28
435,215532.2
436,215526.22
437,215520.42
438,215514.77
439,215509.12
440,215503.61
441,215498.23
442,215492.94
443,215487.88
444,215482.7
445,215477.75
446,215472.88
447,215468.08
448,215463.39
449,215458.77
450,215454.28
451,215449.83
452,215445.5
453,215441.25
454,215437.06
455,215432.94
456,215428.94
457,215425.03
458,215421.2
459,215417.42
460,215413.67
461,215409.97
462,215406.4
463,215402.92
464,215399.5
465,215396.23
466,215392.88
467,215389.64
468,215386.62
469,215383.5
470,215380.4
471,215377.48
472,215374.56
473,215371.78
474,215369.03
475,215366.19
476,215363.56
477,215360.9
478,215358.38
479,215355.86
480,215353.38
481,215351.06
482,215348.66
483,215346.4
484,215344.22
485,215341.95
486,215339.84
487,215337.78
488,215335.67
489,215333.62
490,215331.72
491,215329.75
492,215327.88
493,215326.08
494,215324.3
495,215322.5
496,215320.8
497,215319.12
498,215317.53
499,215315.9
500,215314.38
501,215312.78
502,215311.34
503,215309.89
504,215308.48
505,215307.1
506,215305.72
507,215304.44
508,215303.05
509,215301.84
510,215300.64
511,215299.42
