epoch,train_loss
1,39322.61
2,39171.094
3,39021.54
4,38874.04
5,38728.54
6,38585.02
7,38443.406
8,38303.625
9,38165.633
10,38029.477
11,37895.11
12,37762.582
13,37631.9
14,37503.08
15,37376.105
16,37250.98
17,37127.664
18,37006.125
19,36886.297
20,36768.113
21,36651.53
22,36536.426
23,36422.703
24,36310.324
25,36199.145
26,36089.07
27,35980.035
28,35871.914
29,35764.664
30,35658.21
31,35552.445
32,35447.35
33,35342.906
34,35239.047
35,35135.742
36,35033.0
37,34930.78
38,34829.08
39,34727.902
40,34627.273
41,34527.156
42,34427.61
43,34328.61
44,34230.19
45,34132.35
46,34035.133
47,33938.516
48,33842.555
49,33747.207
50,33652.492
51,33558.453
52,33465.04
53,33372.29
54,33280.18
55,33188.715
56,33097.906
57,33007.703
58,32918.14
59,32829.195
60,32740.871
61,32653.154
62,32566.02
63,32479.496
64,32393.545
65,32308.16
66,32223.348
67,32139.11
68,32055.422
69,31972.281
70,31889.703
71,31807.664
72,31726.164
73,31645.193
74,31564.77
75,31484.873
76,31405.492
77,31326.633
78,31248.297
79,31170.5
80,31093.197
81,31016.424
82,30940.156
83,30864.416
84,30789.193
85,30714.504
86,30640.332
87,30566.703
88,30493.6
89,30421.055
90,30349.047
91,30277.598
92,30206.738
93,30136.438
94,30066.742
95,29997.613
96,29929.117
97,29861.219
98,29793.941
99,29727.312
100,29661.316
101,29595.977
102,29531.297
103,29467.297
104,29403.98
105,29341.344
106,29279.416
107,29218.195
108,29157.695
109,29097.924
110,29038.871
111,28980.56
112,28923.006
113,28866.197
114,28810.139
115,28754.844
116,28700.285
117,28646.508
118,28593.473
119,28541.215
120,28489.707
121,28438.934
122,28388.926
123,28339.656
124,28291.117
125,28243.285
126,28196.172
127,28149.754
128,28104.031
129,28058.957
130,28014.527
131,27970.723
132,27927.508
133,27884.867
134,27842.758
135,27801.162
136,27760.016
137,27719.31
138,27678.988
139,27638.996
140,27599.314
141,27559.844
142,27520.545
143,27481.379
144,27442.264
145,27403.125
146,27363.89
147,27324.492
148,27284.836
149,27244.875
150,27204.473
151,27163.559
152,27122.062
153,27079.854
154,27036.875
155,26992.988
156,26948.11
157,26902.152
158,26855.008
159,26806.564
160,26756.756
161,26705.477
162,26652.604
163,26598.105
164,26541.885
165,26483.848
166,26423.928
167,26362.11
168,26298.281
169,26232.445
170,26164.562
171,26094.617
172,26022.613
173,25948.562
174,25872.48
175,25794.445
176,25714.492
177,25632.7
178,25549.178
179,25464.045
180,25377.395
181,25289.395
182,25200.176
183,25109.871
184,25018.664
185,24926.707
186,24834.16
187,24741.172
188,24647.914
189,24554.523
190,24461.14
191,24367.914
192,24274.934
193,24182.332
194,24090.21
