epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,test_loss,test_accuracy
1.0,0.251,0.498,0.251138464898861,0.49,0.22050273986121458,0.5517241379310345
10.0,0.21839566234357877,0.498,0.22027331334410494,0.49,0.19159263215406483,0.5517241379310345
20.0,0.18942399571556462,0.498,0.1928693441917079,0.49,0.16618440392384096,0.5517241379310345
30.0,0.16637507531247087,0.498,0.171075266748065,0.49,0.1462014886210578,0.5517241379310345
40.0,0.1478889941964534,0.498,0.15359049063433353,0.49,0.13035052371148606,0.5517241379310345
50.0,0.1329298322346376,0.5002857142857143,0.13942678780020976,0.49,0.117654215493678,0.5517241379310345
60.0,0.12070762629568758,0.5265714285714286,0.12783263713056198,0.49,0.10737396901218534,0.593103448275862
70.0,0.11061919190539092,0.5902857142857143,0.11823591673710636,0.56,0.09895140364447702,0.6551724137931034
80.0,0.10220323794696624,0.6457142857142857,0.11020049593467196,0.6,0.09196415762239886,0.7034482758620689
90.0,0.09510631852513488,0.692,0.10339335658578093,0.65,0.08609250123186245,0.7241379310344828
100.0,0.08905700196009116,0.7257142857142858,0.09755969020418664,0.69,0.08109412412532527,0.7379310344827587
110.0,0.08384627054704404,0.76,0.09250403611434464,0.71,0.07678510269711154,0.7793103448275862
120.0,0.07931264511360789,0.786,0.08807599495641165,0.74,0.07302553853817585,0.7931034482758621
130.0,0.0753308926060019,0.8077142857142857,0.08415940720209257,0.76,0.06970872628738295,0.8275862068965517
140.0,0.07180345104269345,0.826,0.08066415561687686,0.8,0.06675298728568037,0.8413793103448276
150.0,0.06865391549888428,0.8405714285714285,0.07751995462088042,0.84,0.06409551595461219,0.8551724137931035
160.0,0.06582208748097616,0.85,0.07467164406780732,0.84,0.06168774515555975,0.8758620689655172
170.0,0.06326021036326519,0.8608571428571429,0.07207562205747003,0.84,0.059491857361741146,0.8758620689655172
180.0,0.060930104773736976,0.8665714285714285,0.06969714009976537,0.85,0.0574781597012927,0.8758620689655172
190.0,0.058800986970356774,0.8731428571428571,0.067508251136743,0.85,0.05562310993500544,0.8896551724137931
200.0,0.05684780567955769,0.8794285714285714,0.06548625181811013,0.85,0.05390783261598583,0.8896551724137931
210.0,0.055049972619920846,0.8854285714285715,0.0636124989651273,0.86,0.05231700413019198,0.903448275862069
220.0,0.053390392073029154,0.888,0.06187150934226811,0.88,0.050838015133549,0.903448275862069
230.0,0.051854717715077756,0.8908571428571429,0.06025027395381722,0.88,0.04946034142836105,0.903448275862069
