epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,test_loss,test_accuracy
1.0,0.251,0.6151428571428571,0.12007635672838396,0.55,0.10153207870593962,0.6827586206896552
10.0,0.035603676158410626,0.9262857142857143,0.040503541088884244,0.9,0.03338574648611135,0.9379310344827586
20.0,0.030594377339678337,0.934,0.03519233776349191,0.9,0.029782117076058507,0.9517241379310345
30.0,0.02922098227503407,0.9377142857142857,0.03352228508060785,0.9,0.02867184579243438,0.9448275862068966
40.0,0.028364957705650617,0.9391428571428572,0.03246189329209305,0.91,0.027993737206970556,0.9448275862068966
50.0,0.027748042721290115,0.9408571428571428,0.03167905130865272,0.92,0.02752789061574686,0.9448275862068966
60.0,0.027271861964818064,0.942,0.03106851439864486,0.92,0.02718649139516353,0.9448275862068966
70.0,0.02688870661999669,0.942,0.030576695343317153,0.92,0.026925248050023345,0.9517241379310345
80.0,0.026572028728849735,0.9422857142857143,0.030170810196254963,0.92,0.02671912797096271,0.9517241379310345
90.0,0.026305383807742576,0.9431428571428572,0.02982917850940356,0.92,0.026552629074755585,0.9517241379310345
100.0,0.026077699505371366,0.9448571428571428,0.02953682695587787,0.93,0.026415464871222687,0.9517241379310345
110.0,0.025881051904101626,0.9454285714285714,0.02928309285529549,0.93,0.026300467313394544,0.9517241379310345
120.0,0.025709524631325722,0.9462857142857143,0.02906019426493728,0.93,0.02620247107181235,0.9517241379310345
130.0,0.02555857071488821,0.948,0.028862330292409526,0.93,0.0261176674501008,0.9448275862068966
140.0,0.025424625222154686,0.9488571428571428,0.028685093908748894,0.93,0.026043201978200554,0.9448275862068966
150.0,0.02530485282606518,0.9491428571428572,0.02852507808906047,0.93,0.025976909043581194,0.9448275862068966
160.0,0.025196973785818654,0.9494285714285714,0.028379605901246233,0.93,0.02591712945779512,0.9448275862068966
170.0,0.025099138899300485,0.9494285714285714,0.0282465422295911,0.93,0.02586258133733153,0.9448275862068966
180.0,0.025009836951516505,0.9505714285714286,0.028124160386077346,0.93,0.0258122668492759,0.9448275862068966
190.0,0.024927824761881476,0.9508571428571428,0.028011046236812182,0.93,0.02576540387407172,0.9448275862068966
200.0,0.024852073496485605,0.9508571428571428,0.02790602832727545,0.93,0.025721375371857418,0.9448275862068966
210.0,0.024781726978409538,0.9508571428571428,0.027808126251899795,0.93,0.02567969152776051,0.9448275862068966
220.0,0.024716069007942182,0.9508571428571428,0.027716511980192815,0.93,0.02563996122999111,0.9448275862068966
230.0,0.02465449754016687,0.9511428571428572,0.027630480494013784,0.93,0.025601870427236724,0.9448275862068966
240.0,0.02459650413723858,0.9511428571428572,0.027549427197170382,0.93,0.025565165596705287,0.9448275862068966
250.0,0.0245416575138212,0.9514285714285714,0.02747283031134655,0.94,0.025529641035614517,0.9448275862068966
260.0,0.024489590283145228,0.9514285714285714,0.027400236989074022,0.94,0.025495129031917436,0.9517241379310345
270.0,0.02443998822292115,0.9514285714285714,0.027331252232093057,0.94,0.025461492216840742,0.9517241379310345
280.0,0.024392581537572507,0.9514285714285714,0.027265529953104408,0.94,0.02542861758079107,0.9517241379310345
290.0,0.024347137711212927,0.952,0.02720276569475369,0.95,0.02539641176487207,0.9517241379310345
300.0,0.024303455635073617,0.9522857142857143,0.02714269064470238,0.95,0.02536479733627893,0.9517241379310345
310.0,0.02426136076119187,0.9522857142857143,0.027085066675396896,0.95,0.0253337098268062,0.9517241379310345
320.0,0.024220701086485486,0.9528571428571428,0.027029682202257422,0.95,0.025303095366459312,0.9517241379310345
330.0,0.02418134381178702,0.9531428571428572,0.02697634870174308,0.95,0.02527290878359719,0.9517241379310345
340.0,0.024143172551875938,0.9531428571428572,0.026924897766123886,0.95,0.025243112072675652,0.9517241379310345
350.0,0.02410608499716428,0.9531428571428572,0.026875178598292568,0.95,0.025213673153068702,0.9517241379310345
360.0,0.02406999094705511,0.9534285714285714,0.026827055870014677,0.95,0.02518456485946963,0.9517241379310345
370.0,0.024034810650303627,0.9534285714285714,0.026780407882371165,0.95,0.025155764117380533,0.9517241379310345
380.0,0.024000473399875585,0.9534285714285714,0.026735124979014074,0.95,0.025127251267186613,0.9517241379310345
390.0,0.02396691633950582,0.9534285714285714,0.026691108172118082,0.95,0.02509900950801809,0.9517241379310345
400.0,0.023934083446944466,0.9537142857142857,0.026648267948201965,0.95,0.0250710244385805,0.9517241379310345
410.0,0.02390192466514277,0.9537142857142857,0.026606523226786825,0.95,0.02504328367679029,0.9517241379310345
420.0,0.02387039515769472,0.954,0.02656580044949258,0.95,0.02501577654369899,0.9517241379310345
430.0,0.02383945466895791,0.9542857142857143,0.02652603278091338,0.95,0.024988493800054565,0.9517241379310345
440.0,0.02380906697262055,0.9542857142857143,0.02648715940564591,0.96,0.02496142742611193,0.9517241379310345
450.0,0.023779199395213363,0.9542857142857143,0.026449124908324486,0.96,0.024934570437099086,0.9517241379310345
460.0,0.023749822403303145,0.9542857142857143,0.026411878725552757,0.96,0.024907916728173822,0.9517241379310345
470.0,0.023720909244945267,0.9542857142857143,0.026375374660304644,0.96,0.024881460943847786,0.9517241379310345
480.0,0.023692435637489975,0.9545714285714286,0.026339570450763256,0.96,0.024855198367770462,0.9517241379310345
490.0,0.023664379495091505,0.9545714285714286,0.02630442738673168,0.96,0.02482912482950353,0.9517241379310345
500.0,0.02363672069031137,0.9551428571428572,0.026269909967724877,0.96,0.024803236625512197,0.9517241379310345
510.0,0.023609440845070908,0.9557142857142857,0.026235985597672196,0.96,0.024777530452082964,0.9517241379310345
520.0,0.023582523146931402,0.9557142857142857,0.02620262431185324,0.96,0.024752003348271722,0.9517241379310345
530.0,0.023555952187282715,0.9557142857142857,0.02616979853227593,0.96,0.024726652647305922,0.9517241379310345
540.0,0.02352971381852739,0.956,0.0261374828482054,0.96,0.024701475935129096,0.9517241379310345
550.0,0.023503795027772112,0.9562857142857143,0.02610565381897754,0.96,0.024676471014990972,0.9517241379310345
560.0,0.023478183824896297,0.9562857142857143,0.026074289796595276,0.96,0.02465163587716528,0.9517241379310345
570.0,0.023452869143169953,0.9562857142857143,0.026043370765918544,0.96,0.024626968673024604,0.9586206896551724
580.0,0.023427840750848347,0.9562857142857143,0.02601287820052795,0.96,0.024602467692823274,0.9586206896551724
590.0,0.0234030891723887,0.9562857142857143,0.025982794932574063,0.96,0.024578131346641583,0.9586206896551724
600.0,0.02337860561811761,0.9562857142857143,0.025953105035125816,0.96,0.024553958148028562,0.9586206896551724
610.0,0.02335438192133582,0.9565714285714285,0.02592379371570562,0.96,0.02452994669995171,0.9586206896551724
620.0,0.02333041048198109,0.9565714285714285,0.02589484721985058,0.96,0.02450609568272103,0.9586206896551724
630.0,0.023306684216084294,0.9565714285714285,0.025866252743671325,0.96,0.02448240384360498,0.9586206896551724
640.0,0.02328319651035283,0.9565714285714285,0.025837998354496128,0.96,0.024458869987897546,0.9586206896551724
650.0,0.023259941181300092,0.9568571428571429,0.025810072918788427,0.96,0.02443549297123083,0.9586206896551724
660.0,0.02323691243841247,0.9568571428571429,0.02578246603661545,0.96,0.024412271692958124,0.9586206896551724
670.0,0.02321410485090806,0.9568571428571429,0.02575516798202344,0.96,0.024389205090457017,0.9586206896551724
680.0,0.023191513317696567,0.9568571428571429,0.02572816964874378,0.96,0.024366292134224303,0.9586206896551724
690.0,0.02316913304019562,0.9565714285714285,0.025701462500715512,0.96,0.024343531823652252,0.9586206896551724
700.0,0.023146959497701198,0.9565714285714285,0.025675038526963092,0.96,0.024320923183391723,0.9586206896551724
710.0,0.023124988425043833,0.9565714285714285,0.025648890200416066,0.96,0.02429846526022069,0.9586206896551724
720.0,0.02310321579229503,0.9568571428571429,0.02562301044029962,0.97,0.0242761571203482,0.9586206896551724
730.0,0.023081637786313596,0.9568571428571429,0.025597392577762706,0.97,0.024253997847093943,0.9586206896551724
740.0,0.02306025079394666,0.9571428571428572,0.0255720303244435,0.97,0.02423198653889104,0.9586206896551724
750.0,0.02303905138672015,0.9571428571428572,0.025546917743701877,0.97,0.024210122307567607,0.9586206896551724
