epoch,train_loss
1,53995.184
2,53628.945
3,53265.46
4,52904.797
5,52546.953
6,52192.008
7,51839.96
8,51490.88
9,51144.78
10,50801.68
11,50461.65
12,50124.71
13,49790.855
14,49460.13
15,49132.56
16,48808.152
17,48486.95
18,48168.96
19,47854.176
20,47542.613
21,47234.28
22,46929.2
23,46627.324
24,46328.68
25,46033.297
26,45741.16
27,45452.242
28,45166.6
29,44884.17
30,44604.97
31,44328.996
32,44056.195
33,43786.562
34,43520.125
35,43256.824
36,42996.652
37,42739.574
38,42485.613
39,42234.754
40,41986.977
41,41742.21
42,41500.457
43,41261.695
44,41025.867
45,40793.0
46,40562.992
47,40335.85
48,40111.562
49,39890.14
50,39671.574
51,39455.766
52,39242.715
53,39032.38
54,38824.758
55,38619.8
56,38417.477
57,38217.78
58,38020.688
59,37826.195
60,37634.24
61,37444.75
62,37257.652
63,37072.938
64,36890.645
65,36710.754
66,36533.22
67,36357.977
68,36184.97
69,36014.21
70,35845.652
71,35679.312
72,35515.11
73,35353.062
74,35193.176
75,35035.414
76,34879.7
77,34726.09
78,34574.54
79,34424.938
80,34277.293
81,34131.547
82,33987.688
83,33845.64
84,33705.48
85,33567.14
86,33430.566
87,33295.766
88,33162.703
89,33031.312
90,32901.598
91,32773.5
92,32647.025
93,32522.123
94,32398.787
95,32276.988
96,32156.588
97,32037.463
98,31919.805
99,31803.545
100,31688.646
101,31575.166
102,31463.174
103,31352.615
104,31243.484
105,31135.768
106,31029.467
107,30924.537
108,30820.854
109,30718.482
110,30617.314
111,30517.41
112,30418.766
113,30321.338
114,30225.205
115,30130.332
116,30036.66
117,29944.133
118,29852.799
119,29762.604
120,29673.502
121,29585.598
122,29498.832
123,29413.072
124,29328.33
125,29244.71
126,29162.139
127,29080.625
128,29000.287
129,28921.043
130,28842.771
131,28765.406
132,28689.047
133,28613.584
134,28538.834
135,28464.691
136,28390.99
137,28317.809
138,28245.113
139,28172.754
140,28100.04
141,28026.426
142,27951.338
143,27874.502
144,27795.1
145,27711.742
146,27623.396
147,27528.27
148,27424.842
149,27311.322
150,27187.129
151,27048.969
152,26897.182
153,26729.723
154,26546.246
155,26346.963
156,26133.041
157,25905.578
158,25665.75
159,25413.283
160,25149.654
161,24877.125
162,24597.398
163,24310.988
164,24020.555
165,23727.918
166,23434.271
167,23140.854
168,22848.4
169,22557.973
170,22270.436
171,21985.865
172,21704.703
173,21427.639
174,21155.117
175,20887.172
176,20623.45
177,20364.14
