epoch,train_loss
1,28912.549
2,28799.684
3,28689.996
4,28583.46
5,28480.082
6,28379.822
7,28282.676
8,28188.596
9,28097.549
10,28009.508
11,27924.432
12,27842.244
13,27762.928
14,27686.396
15,27612.6
16,27541.465
17,27472.926
18,27406.918
19,27343.357
20,27282.168
21,27223.273
22,27166.588
23,27112.043
24,27059.525
25,27008.98
26,26960.314
27,26913.434
28,26868.266
29,26824.717
30,26782.713
31,26742.164
32,26702.992
33,26665.125
34,26628.467
35,26592.97
36,26558.537
37,26525.111
38,26492.613
39,26460.994
40,26430.184
41,26400.1
42,26370.71
43,26341.945
44,26313.77
45,26286.111
46,26258.932
47,26232.2
48,26205.854
49,26179.87
50,26154.207
51,26128.832
52,26103.701
53,26078.803
54,26054.105
55,26029.578
56,26005.217
57,25980.97
58,25956.844
59,25932.812
60,25908.865
61,25884.986
62,25861.168
63,25837.39
64,25813.658
65,25789.94
66,25766.256
67,25742.594
68,25718.941
69,25695.297
70,25671.658
71,25648.03
72,25624.412
73,25600.787
74,25577.158
75,25553.557
76,25529.941
77,25506.332
78,25482.727
79,25459.146
80,25435.566
81,25412.0
82,25388.459
83,25364.938
84,25341.434
85,25317.955
86,25294.514
87,25271.094
88,25247.719
89,25224.373
90,25201.088
91,25177.838
92,25154.652
93,25131.502
94,25108.434
95,25085.404
96,25062.457
97,25039.576
98,25016.77
99,24994.041
100,24971.383
101,24948.816
102,24926.336
103,24903.947
104,24881.648
105,24859.457
106,24837.361
107,24815.367
108,24793.482
109,24771.717
110,24750.053
111,24728.514
112,24707.09
113,24685.785
114,24664.617
115,24643.574
116,24622.66
117,24601.877
118,24581.232
119,24560.732
120,24540.371
121,24520.145
122,24500.08
123,24480.154
124,24460.387
125,24440.77
126,24421.307
127,24402.006
128,24382.867
129,24363.885
130,24345.076
131,24326.43
132,24307.94
133,24289.629
134,24271.488
135,24253.516
136,24235.727
137,24218.111
138,24200.676
139,24183.416
140,24166.332
141,24149.445
142,24132.729
143,24116.205
144,24099.865
145,24083.71
146,24067.744
147,24051.97
148,24036.379
149,24020.984
150,24005.777
151,23990.771
152,23975.945
153,23961.324
154,23946.885
155,23932.648
156,23918.6
157,23904.752
158,23891.098
159,23877.63
160,23864.365
161,23851.29
162,23838.418
163,23825.732
164,23813.248
165,23800.95
166,23788.857
167,23776.941
168,23765.232
169,23753.713
170,23742.385
171,23731.246
172,23720.297
173,23709.535
174,23698.979
175,23688.59
176,23678.39
177,23668.385
178,23658.56
179,23648.924
180,23639.463
181,23630.184
182,23621.086
183,23612.174
184,23603.434
185,23594.863
186,23586.47
187,23578.25
188,23570.203
189,23562.322
190,23554.615
191,23547.064
192,23539.684
193,23532.465
194,23525.408
195,23518.51
196,23511.771
197,23505.172
198,23498.744
199,23492.467
200,23486.334
201,23480.348
202,23474.51
203,23468.807
204,23463.25
205,23457.834
206,23452.555
207,23447.412
208,23442.39
209,23437.512
210,23432.76
211,23428.129
212,23423.625
213,23419.242
214,23414.984
215,23410.85
216,23406.82
217,23402.9
218,23399.1
219,23395.408
220,23391.824
221,23388.344
222,23384.965
223,23381.686
224,23378.51
225,23375.426
226,23372.44
227,23369.547
228,23366.742
229,23364.023
230,23361.396
231,23358.854
232,23356.387
233,23354.0
234,23351.707
235,23349.473
236,23347.328
237,23345.242
238,23343.24
239,23341.305
240,23339.436
241,23337.629
242,23335.889
243,23334.207
244,23332.594
245,23331.035
246,23329.525
247,23328.084
248,23326.69
249,23325.352
250,23324.062
251,23322.828
252,23321.639
253,23320.496
254,23319.396
255,23318.336
256,23317.316
257,23316.344
258,23315.412
259,23314.514
260,23313.652
261,23312.838
262,23312.04
263,23311.29
264,23310.572
265,23309.871
266,23309.215
267,23308.586
268,23307.979
269,23307.4
270,23306.848
271,23306.328
272,23305.822
273,23305.352
274,23304.889
275,23304.453
276,23304.035
277,23303.643
278,23303.264
279,23302.91
280,23302.57
281,23302.254
282,23301.945
283,23301.65
284,23301.37
285,23301.123
286,23300.863
287,23300.63
288,23300.408
289,23300.19
290,23299.992
291,23299.8
292,23299.621
293,23299.45
294,23299.293
295,23299.139
296,23299.002
297,23298.867
298,23298.734
299,23298.623
300,23298.504
301,23298.404
302,23298.305
303,23298.21
304,23298.117
305,23298.037
306,23297.963
307,23297.883
308,23297.818
309,23297.75
310,23297.69
311,23297.633
312,23297.58
313,23297.54
314,23297.496
315,23297.45
316,23297.412
317,23297.371
318,23297.344
319,23297.31
320,23297.28
321,23297.248
322,23297.217
323,23297.197
324,23297.17
325,23297.152
326,23297.137
327,23297.117
328,23297.1
329,23297.084
330,23297.068
331,23297.06
332,23297.041
333,23297.043
334,23297.035
335,23297.014
336,23297.0
337,23297.012
338,23296.992
339,23296.984
340,23296.982
341,23296.977
342,23296.97
343,23296.97
